,pubplace,lat,long
0,London,51.5073359,-0.12765
1,New York,40.7127281,-74.0060152
2,Praha,50.0874654,14.4212535
3,Ankara,39.9207886,32.8540482
5,Leipzig,51.3406321,12.3747329
19,Kopenhagen,55.6867243,12.5700724
36,"New York, NY",40.7127281,-74.0060152
39,Buenos Aires,-34.6075682,-58.4370894
47,Melbourne,-37.8142176,144.9631608
52,Toronto,43.6534817,-79.3839347
54,Bradford,53.7944229,-1.7519186
56,Manchester,53.4794892,-2.2451148
59,Paris,48.8588897,2.3200410217200766
62,Boston,42.3554334,-71.060511
63,Chicago,41.8755616,-87.6244212
64,Dallas,32.7762719,-96.7968559
65,Atlanta,33.7489924,-84.3902644
66,San Francisco,37.7790262,-122.419906
68,Bombay,19.0785451,72.878176
69,Calcutta,22.5726459,88.3638953
96,Basel,47.5581077,7.5878261
99,Stuttgart,48.7784485,9.1800132
107,Bern,46.9482713,7.4514512
109,Zürich,47.3744489,8.5410422
117,Wien,48.2083537,16.3725042
120,Konstanz,47.659216,9.1750718
124,Ijui,-28.3878734,-53.9201692
125,Rio de Janeiro,-22.9110137,-43.2093727
131,Amsterdam,52.3730796,4.8924534
140,Bujumbura,-3.3638125,29.3675028
144,Moskau,55.7504461,37.6174943
151,Frankfurt a.M.,50.1106444,8.6820917
152,Berlin,52.5170365,13.3888599
163,Winterthur,47.4991723,8.7291498
172,Affoltern a.A.,47.2782467,8.4521518
174,Olten,47.3496571,7.903787
191,Jerusalem,31.7788242,35.2257626
193,Oxford,51.7520131,-1.2578499
198,Luzern,47.0505452,8.3054682
204,Stockholm,59.3251172,18.0710935
229,Salzburg,47.7981346,13.0464806
230,Graz,47.0708678,15.4382786
233,Hamburg,53.550341,10.000654
234,Frankfurt am Main,50.1106444,8.6820917
235,Barcelona,41.3828939,2.1774322
236,Sankt Gallen,47.4250593,9.3765878
246,Hildesheim,52.1521636,9.9513046
248,Lausanne,46.5218269,6.6327025
251,"Milwaukee, USA",43.0349931,-87.922497
263,Madras,13.0836939,80.270186
267,S.l. @,35.57525385,-78.74237343499374
269,Tel-Aviv,32.0852997,34.7818064
271,"New York City, NY",40.7127281,-74.0060152
276,Cambridge,52.2055314,0.1186637
279,Johannesburg,-26.205,28.049722
281,Lwow,49.841952,24.0315921
293,Strasbourg,48.584614,7.7507127
297,Tel Aviv,32.0852997,34.7818064
302,Wisconsin,14.5143169,-84.1855449
307,Budapest,47.48138955,19.14609412691246
309,"Washington, DC",38.8950368,-77.0365427
319,Harmondsworth,51.4889317,-0.4755435
322,Edinburgh,55.9533456,-3.1883749
323,Glasgow,55.8606182,-4.2497933
334,Sydney,-33.8698439,151.2082848
335,İstanbul,41.0091982,28.9662187
337,Nijkerk,52.21485365,5.478146323965094
342,"Tulsa, Okla.",36.1563122,-95.9927516
347,Zurich,47.3744489,8.5410422
348,Enfield,51.6520851,-0.0810175
356,Beograd,44.8178131,20.4568974
359,"Philadelphia, Pa.",39.9527237,-75.1635262
370,Tokyo,35.6812665,139.757653
374,"Boston, Mass.",42.3554334,-71.060511
389,s. l. @,35.57525385,-78.74237343499374
393,Cincinnati,39.1014537,-84.5124602
394,"Berkeley, Calif.",37.8708393,-122.272863
407,"College Park, Md.",38.980666,-76.9369189
410,Philadelphia,39.9527237,-75.1635262
412,Porto,41.1494512,-8.6107884
424,Peking,39.906217,116.3912757
433,Colmar,48.0777517,7.3579641
437,Yerushalayim,31.7788242,35.2257626
447,Köln,50.938361,6.959974
451,München,48.1371079,11.5753822
463,Worms,49.6302618,8.3620898
470,Firenze,43.7698712,11.2555757
472,Den Haag,52.0799838,4.3113461
478,Ỉstanbul,41.0091982,28.9662187
479,Oslo,59.9133301,10.7389701
480,"Durham, NC",35.996653,-78.9018053
482,Sint-Niklaas,51.1646685,4.1395124
487,Prague,50.0874654,14.4212535
491,Madrid,40.4167047,-3.7035825
494,St. Albans,51.753051,-0.3379675
506,Genf,46.2017559,6.1466014
523,Prag,50.0874654,14.4212535
538,Bruxelles,50.8465573,4.351697
552,M.-Ostrau,49.80463090000001,18.23427781232195
