idn,titel,author,rela,gnd
1337043966,Ausdrucksstarker Sprachgebrauch als Katalysator einer Revolution,unknown,unknown,unknown
1325298123,Burg in der Brandung?,"Gilcher-Holtey, Ingrid",Verfasser,unknown
1338119109,Der Vietnamkrieg und die 68er Bewegung. Ursachen und Zusammenhänge der Protestwelle in Deutschland,"Schröders, Katharina",Verfasser,unknown
1337965448,Der Vietnamkrieg und die 68er Bewegung. Ursachen und Zusammenhänge der Protestwelle in Deutschland,"Schröders, Katharina",Verfasser,unknown
1334711879,Proteste homosexueller Studierender in Münster,"Schäfers, Norbert",Verfasser,unknown
1334711895,Protestgeschichte(n) in Westfalen nach 1945,"Jüttemann, Veronika",Verfasser,(DE-588)13015119X; https://d-nb.info/gnd/13015119X; (DE-101)13015119X
1325391859,The Times They Are A Changin',"Beucker, Pascal",Verfasser,unknown
1287481329,Das kritisch-alternative pädagogische Milieu um 1968,"Thole, Friederike",Verfasser,(DE-588)1242924396; https://d-nb.info/gnd/1242924396; (DE-101)1242924396
1286728746,Das kritisch-alternative pädagogische Milieu um 1968,"Thole, Friederike",Verfasser,(DE-588)1242924396; https://d-nb.info/gnd/1242924396; (DE-101)1242924396
1292866977,Das Sozialistische Patientenkollektiv und seine Radikalisierung. Faktoren und Ereignisse des Radikalisierungsprozesses,"Schosser, Isabelle-Angelina",Verfasser,unknown
1292669306,Das Sozialistische Patientenkollektiv und seine Radikalisierung. Faktoren und Ereignisse des Radikalisierungsprozesses,"Schosser, Isabelle-Angelina",Verfasser,unknown
1291669787,"Der SDS - Westberlin/Westdeutschland und die ""Bewegung des 22. März"" 1968 Paris","Eichhorn, Lothar",Verfasser,(DE-588)1286976375; https://d-nb.info/gnd/1286976375; (DE-101)1286976375
1331725275,Diskus,unknown,unknown,unknown
1302982443,Frauen in der 68er Bewegung,"Teckentrup, Gabriele",Verfasser,(DE-588)1298809789; https://d-nb.info/gnd/1298809789; (DE-101)1298809789
1284417018,Frauen in der 68er Bewegung,"Teckentrup, Gabriele",Verfasser,(DE-588)1298809789; https://d-nb.info/gnd/1298809789; (DE-101)1298809789
1288151659,Hindutva Self-fashioning: Young Hindu Nationalists of India,"Tyagi, Aastha",Verfasser,(DE-588)1292261757; https://d-nb.info/gnd/1292261757; (DE-101)1292261757
1294890166,The Global cold war on campus,"Klausmann, Kyara",Verfasser,(DE-588)130852207X; https://d-nb.info/gnd/130852207X; (DE-101)130852207X
