idn,titel,author,rela,gnd,links
1325298123,Burg in der Brandung?,"Gilcher-Holtey, Ingrid",Verfasser,unknown,https://nbn-resolving.org/urn:nbn:de:0301-20240327-094922-0-2; https://d-nb.info/1325298123/34; https://intr2dok.vifa-recht.de/receive/mir_mods_00016987
1334711879,Proteste homosexueller Studierender in Münster,"Schäfers, Norbert",Verfasser,unknown,https://doi.org/10.17879/16928668085; https://nbn-resolving.org/urn:nbn:de:hbz:6-16928666648; https://d-nb.info/1334711879/34; https://nbn-resolving.de/urn:nbn:de:hbz:6-16928666648
1334711895,Protestgeschichte(n) in Westfalen nach 1945,"Jüttemann, Veronika",Verfasser,(DE-588)13015119X; https://d-nb.info/gnd/13015119X; (DE-101)13015119X,https://doi.org/10.17879/16928687989; https://nbn-resolving.org/urn:nbn:de:hbz:6-16928687446; https://d-nb.info/1334711895/34; https://nbn-resolving.de/urn:nbn:de:hbz:6-16928687446
1328613615,"Verbrauchermacht in Bewegung: Protest, Politik und sozio-technische Infrastrukturen","Hohnsträter, Dirk",Herausgeber,(DE-588)1080317260; https://d-nb.info/gnd/1080317260; (DE-101)1080317260,https://doi.org/10.5771/9783748934295; https://nbn-resolving.org/urn:nbn:de:101:1-2405071414249.411328132923; https://d-nb.info/1328613615/34; https://www.ssoar.info/ssoar/handle/document/81756
1271150549,"""Brecht den roten Uni-Terror!"" - '1968' im Visier der extremen Rechten","Virchow, Fabian",Verfasser,(DE-588)132413884; https://d-nb.info/gnd/132413884; (DE-101)132413884,https://doi.org/10.3224/zrex.v1i2.07; https://nbn-resolving.org/urn:nbn:de:0168-ssoar-77274-6; https://d-nb.info/1271150549/34; https://www.ssoar.info/ssoar/handle/document/77274
1288718594,Protest als sprachliches Umbruchphänomen der späten 1960er Jahre - Aushandeln einer politischen Ausdrucksform,"Kämper, Heidrun",Verfasser,(DE-588)118165127; https://d-nb.info/gnd/118165127; (DE-101)118165127,https://doi.org/10.1515/9783110759082-006; https://nbn-resolving.org/urn:nbn:de:bsz:mh39-108010; https://d-nb.info/1288718594/34; https://ids-pub.bsz-bw.de/frontdoor/index/index/docId/10801
131697085X,"Rudi Dutschke, der Redner: Rezension zu ""Die Stimme der Revolution: Rudi Dutschke in zwölf Originalaufnahmen"" von Carsten Prien (Hg.)","Kraushaar, Wolfgang",Verfasser,unknown,https://nbn-resolving.org/urn:nbn:de:0168-ssoar-81173-3; https://d-nb.info/131697085X/34; https://www.ssoar.info/ssoar/handle/document/81173
1300887249,Brüchige Allianzen: LSBTIQ Aktivismen im Kontext der intersektionalen und dekolonialen Praxis der südafrikanischen Studierendenbewegung,"Daniel, Antje",Verfasser,unknown,https://doi.org/10.3224/peripherie.v40i1-2.06; https://nbn-resolving.org/urn:nbn:de:0168-ssoar-68959-0; https://d-nb.info/1300887249/34; https://www.ssoar.info/ssoar/handle/document/68959
1232286281,"China's guided memory: how historical events are remembered, glorified, reinterpreted, and kept quit","Hilpert, Hanns Günther",Verfasser,(DE-588)118131818; https://d-nb.info/gnd/118131818; (DE-101)118131818,https://doi.org/10.18449/2020C04; https://nbn-resolving.org/urn:nbn:de:0168-ssoar-66974-9; https://d-nb.info/1232286281/34; https://www.ssoar.info/ssoar/handle/document/66974
1243700106,Social Movements and Public Policies in Chile: Analysis of the Student Movement of 2011 and the No+AFP movement of 2016,"Olivares, Alejandro L.",Verfasser,unknown,https://nbn-resolving.org/urn:nbn:de:0168-ssoar-69926-8; https://d-nb.info/1243700106/34; https://www.ssoar.info/ssoar/handle/document/69926
1265811849,Student und Demokratie: Das politische Potenzial deutscher Studierender in Geschichte und Gegenwart,"Schenke, Julian",Verfasser,(DE-588)1167969928; https://d-nb.info/gnd/1167969928; (DE-101)1167969928,https://doi.org/10.14361/9783839453711; https://nbn-resolving.org/urn:nbn:de:0168-ssoar-73003-9; https://d-nb.info/1265811849/34; http://www.transcript-verlag.de/978-3-8376-5371-7; https://www.ssoar.info/ssoar/handle/document/73003
1222997096,A juventude de 1968 em debate no romance francês,"Gonçalves, Luís",Verfasser,unknown,https://nbn-resolving.org/urn:nbn:de:hebis:30:3-561877; https://d-nb.info/1222997096/34; http://publikationen.ub.uni-frankfurt.de/frontdoor/index/index/docId/56187
1222056852,"Froh darüber, dabei gewesen zu sein","Krauss, Hannes",Verfasser,(DE-588)172211808; https://d-nb.info/gnd/172211808; (DE-101)172211808,https://nbn-resolving.org/urn:nbn:de:hebis:30:3-561650; https://d-nb.info/1222056852/34; http://publikationen.ub.uni-frankfurt.de/frontdoor/index/index/docId/56165
1222056925,"Marxistische Theorie(n)? : ""Kursbuch"", ""Literaturmagazin"" und das ""lange 68""","Lampe, Josch",Verfasser,unknown,https://nbn-resolving.org/urn:nbn:de:hebis:30:3-561849; https://d-nb.info/1222056925/34; http://publikationen.ub.uni-frankfurt.de/frontdoor/index/index/docId/56184
1341463516,Professor Löffler hebelt die Linke aus,"Giovannini, Norbert Michael",Verfasser,(DE-588)123532868; https://d-nb.info/gnd/123532868; (DE-101)123532868,https://doi.org/10.57962/regionalia-24364; https://nbn-resolving.org/urn:nbn:de:bsz:31-opus-243640; https://d-nb.info/1341463516/34; https://regionalia.blb-karlsruhe.de/frontdoor/index/index/docId/24364
