idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
1325298123,"Gilcher-Holtey, Ingrid",1952-11-13,,Witten,,Historikerin; Hochschullehrerin,unknown
1334711895,"Jüttemann, Veronika",1978,,Coesfeld,,Historikerin; Wissenschaftliche Mitarbeiterin,13015119X
1325391859,"Beucker, Pascal",1966,,Düsseldorf,,Journalist; Korrespondent,unknown
1291669787,"Eichhorn, Lothar",1952,,Treben,,Politologe,1286976375
1256368288,"Dündar, Can",1961,,Ankara,,Redakteur; Journalist; Politologe,128598603
1328613615,"Hohnsträter, Dirk",1968,,Melle,,Kulturwissenschaftler; Wissenschaftlicher Mitarbeiter; Autor,1080317260
1244014699,"Großbölting, Thomas",1969,,Dingden,,Historiker; Theologe; Hochschullehrer,115379428
125210118X,"Gilcher-Holtey, Ingrid",1952-11-13,,Witten,,Historikerin; Hochschullehrerin,11100618X
1271150549,"Virchow, Fabian",1960,,Heiligenhafen,,Soziologe; Hochschullehrer,132413884
1238265898,"Juchler, Ingo",1962,,Mannheim,,Politologe; Hochschullehrer,112787061
1314084127,"Zwarg, Robert",1981,,Zschopau,,Philosoph; Übersetzer; Wissenschaftlicher Mitarbeiter,unknown
1232015539,"Fichter, Tilman",1937,,Berlin,,Politologe,12200048X
1245095935,"Fichter, Tilman",1937,,Berlin,,Politologe,12200048X
1237747635,"Marcuse, Herbert",1898-07-19,1979-07-29,Berlin,Starnberg,Philosoph; Politologe; Soziologe,unknown
131697085X,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,unknown
124493724X,"Brühlmann, Kevin",1990,,Thayngen,,Reporter,1246567407
1286189993,"Zumhof, Tim",1984,,Bonn,,Germanist; Pädagoge,1019117664
1222056852,"Krauss, Hannes",1945,,Stuttgart,,Germanist; Philologe; Linguist; Literaturwissenschaftler; Dozent,172211808
1341463516,"Giovannini, Norbert Michael",1948,,Freiburg im Breisgau,,Pädagoge; Lehrer,123532868
1203466994,"Zingelmann, Thomas",1987,,Celle,,Philosoph,1201104866
1191578372,"Schneider, Peter",1940-04-21,,Lübeck,,Schriftsteller; Drehbuchautor; Dozent; Schriftsteller,118758675
