idn,author,gnd_modified
1325298123,"Gilcher-Holtey, Ingrid",unknown
1338119109,"Schröders, Katharina",unknown
1337965448,"Schröders, Katharina",unknown
1334711879,"Schäfers, Norbert",unknown
1334711895,"Jüttemann, Veronika",(DE-588)13015119X
1325391859,"Beucker, Pascal",unknown
1287481329,"Thole, Friederike",(DE-588)1242924396
1286728746,"Thole, Friederike",(DE-588)1242924396
1292866977,"Schosser, Isabelle-Angelina",unknown
1292669306,"Schosser, Isabelle-Angelina",unknown
1291669787,"Eichhorn, Lothar",(DE-588)1286976375
1302982443,"Teckentrup, Gabriele",(DE-588)1298809789
1284417018,"Teckentrup, Gabriele",(DE-588)1298809789
1288151659,"Tyagi, Aastha",(DE-588)1292261757
1294890166,"Klausmann, Kyara",(DE-588)130852207X
1256368288,"Dündar, Can",(DE-588)128598603
1304896455,"Wolf, Michael",(DE-588)174007493
1248320239,"Jüttemann, Andreas",(DE-588)137659326
1297325710,"Römer, Oliver",unknown
1262660173,"Grimm, Regina",unknown
1258670895,"Grimm, Regina",unknown
1253581223,"Eisfeld, Rainer",(DE-588)116435062
1246541092,"Eisfeld, Rainer",(DE-588)116435062
1261502116,"Gruner, Paul",(DE-588)116900571
1266976469,"Ebel, Thomas",unknown
125979914X,"Ebel, Thomas",unknown
1253137358,"Gaede, Niklas",unknown
1252738838,"Gaede, Niklas",unknown
1328613615,"Hohnsträter, Dirk",(DE-588)1080317260
1233148117,"Gamelas, Inês",(DE-588)1244838055
1244067601,"Gamelas, Inês",(DE-588)1244838055
1244067571,"Gamelas, Inês",(DE-588)1244838055
1244014699,"Großbölting, Thomas",(DE-588)115379428
125210118X,"Gilcher-Holtey, Ingrid",(DE-588)11100618X
1232746401,"Schmelzer, Pablo",(DE-588)1243113863
1242917039,"Schmelzer, Pablo",(DE-588)1243113863
1242917020,"Schmelzer, Pablo",(DE-588)1243113863
1271150549,"Virchow, Fabian",(DE-588)132413884
1246963124,"Wengraf, Michael",(DE-588)1112574093
1238265898,"Juchler, Ingo",(DE-588)112787061
1314084127,"Zwarg, Robert",unknown
1232015539,"Fichter, Tilman",(DE-588)12200048X
1245095935,"Fichter, Tilman",(DE-588)12200048X
1237747635,"Marcuse, Herbert",unknown
1251511694,"Valenta, Aleš",(DE-588)188370781
1288718594,"Kämper, Heidrun",(DE-588)118165127
131697085X,"Kraushaar, Wolfgang",unknown
124493724X,"Brühlmann, Kevin",(DE-588)1246567407
128915239X,"Schenke, Julian",(DE-588)1167969928
1300887249,"Daniel, Antje",unknown
1232286281,"Hilpert, Hanns Günther",(DE-588)118131818
1286189993,"Zumhof, Tim",(DE-588)1019117664
121871090X,"Kaliski, Bartosz",(DE-588)1022250345
1224831896,"Kaliski, Bartosz",(DE-588)1022250345
1200232755,"Behnken, Imbke",(DE-588)115707441
1243700106,"Olivares, Alejandro L.",unknown
1265811849,"Schenke, Julian",(DE-588)1167969928
1206263539,"Deutschmann, Anna",(DE-588)1214379087
1212932528,"Werner, Felix",unknown
1212932536,"Werner, Felix",unknown
1222997096,"Gonçalves, Luís",unknown
1222056852,"Krauss, Hannes",(DE-588)172211808
1222056925,"Lampe, Josch",unknown
1341463516,"Giovannini, Norbert Michael",(DE-588)123532868
134146394X,"Kaiser, Marina",unknown
1203466994,"Zingelmann, Thomas",(DE-588)1201104866
1334196699,"Siegfried, Detlef",unknown
118719266X,"König, Armin",unknown
1209267470,"Brandorff, Helmut",unknown
1209267470,"Brandorff, Helmut",unknown
1199529761,"Lütkebomert, Pia",unknown
1194084249,"Lütkebomert, Pia",unknown
1178281892,"Linhart, Ruth",(DE-588)1090934610
1191578372,"Schneider, Peter",(DE-588)118758675
1181982073,"Feucht, Stefan",(DE-588)120300079
120663765X,"Ullrich, Peter",unknown
132860733X,"Böckmann, Lukas",unknown
120229376X,"Behnken, Imbke",(DE-588)115707441
1181236258,"Hahn, Ulla",(DE-588)118994212
1158684223,"Kasper, Sebastian",(DE-588)1156195721
1202981984,"Šárka, Josef",(DE-588)1201579724
120081004X,"Jurić, Mijo",(DE-588)1012028119
1190834588,"Heidlberger, Bruno",(DE-588)1204031126
1228911037,"Frye, Bernd",unknown
1172851743,"Benne, Simon",(DE-588)143996878
1152079360,"Vinen, Richard",(DE-588)171048423
1151541532,"Vinen, Richard",(DE-588)171048423
1144285879,"Koch, Claus",(DE-588)143681184
1153327457,"Koch, Claus",(DE-588)143681184
1148319662,"Siegfried, Detlef",(DE-588)11251653X
115710892X,"Juchler, Ingo",(DE-588)112787061
1136621202,"Großbölting, Thomas",(DE-588)115379428
1167338049,"Beck, Ursel",(DE-588)1168274702
1150317205,"Deppe, Frank",(DE-588)115384324
114906692X,"Leggewie, Claus",(DE-588)120579936
1145165516,"Mäder, Ueli",(DE-588)121117170
1159881286,"Mäder, Ueli",(DE-588)121117170
1148006540,"Sontheimer, Michael",(DE-588)121417204
115493568X,"Sontheimer, Michael",(DE-588)121417204
1181716497,"Sontheimer, Michael",(DE-588)121417204
1143615697,"Hodenberg, Christina von",(DE-588)11804141X
1159579059,"Hodenberg, Christina",unknown
1181256836,"Hodenberg, Christina von",(DE-588)11804141X
1145059929,"Jasper, Willi",(DE-588)120482495
1148129634,"Cardorff, Peter",(DE-588)1056510625
1156735629,"Kraushaar, Wolfgang",(DE-588)120283344
1170354742,"Kraushaar, Wolfgang",(DE-588)120283344
1170354920,"Kraushaar, Wolfgang",(DE-588)120283344
1170355072,"Kraushaar, Wolfgang",(DE-588)120283344
1170637752,"Kraushaar, Wolfgang",(DE-588)120283344
1149712147,"Landmann, Valentin",(DE-588)108434125
1171813511,"Peschke, Benjamin",unknown
1171813430,"Peschke, Benjamin",unknown
1171814712,"Böhle, Felicia",unknown
1171814909,"Böhle, Felicia",unknown
1158704607,"Nassehi, Armin",(DE-588)12457713X
115031933X,"Nassehi, Armin",(DE-588)12457713X
1140246860,"Fichter, Tilman",(DE-588)12200048X
1147877300,"Dutschke, Rudi",(DE-588)118528327
1144213290,"Hattstein, Markus",(DE-588)113118023
1168782716,"Schmidt, Christoph",(DE-588)138385831
1071491482,"Schmidt, Christoph",(DE-588)138385831
1148006621,"Heider, Ulrike",(DE-588)1046509918
1159903042,"Mann, Richard",unknown
117515931X,"Aly, Götz",(DE-588)115766065
1162984120,"Kowalski, David",(DE-588)1133097243
1148137416,"Kowalski, David",(DE-588)1133097243
117207285X,"Voit, Jochen",(DE-588)140805923
1151949841,"Voit, Jochen",(DE-588)140805923
1144390117,"Sarx, Tobias",(DE-588)13406691X
1161458441,"Sarx, Tobias",(DE-588)13406691X
1173466142,"Häberlen, Joachim C.",(DE-588)1035330555
123736258X,"Wicke, Finja",unknown
1270069314,"Gerhards, Thomas",unknown
1161139265,"Daphi, Priska",unknown
1228908168,"Frank, Dirk",unknown
116113770X,"Wiggershaus, Rolf",(DE-588)120664658
1228910057,"Gärtner, Melanie",unknown
1161138218,"Sauter, Anke",unknown
113079749X,"Fuhrer, Armin",(DE-588)131668544
1131814045,"Juchler, Ingo",(DE-588)112787061
1334193029,"Herasimenka, Aliaksandr",(DE-588)115018762X
1139207547,"Caviezel, Werner",(DE-588)1140241737
1133089968,"Funke, Hajo",(DE-588)122730992
