"subject";"identifier";"type";"creator";"title";"volume";"edition";"publisher";"year";"format";"ISBN";"ISSN";"ISMN";"EAN/UPC";"binding/price";"language";"country";"date of publication";"description";"collective title";"links";"relation";"rights";"subject headings";"connected titles";"uniform title";"frequency";"wv number"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010060101, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010060101, IDN:1003104487";"Online-Ressource";"Goethe, Johann Wolfgang von [Verfasser]";"Egmont : ein Trauerspiel in fünf Aufzügen / J. W. von Goethe";"";"[Online-Ausg.]";"Paderborn : Schöningh";"1946";"92 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011375, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011375, IDN:999490184";"Online-Ressource";"Meyer, Conrad Ferdinand [Verfasser]";"Das Amulett / Conrad Ferdinand Meyer";"";"6. - 15. Tsd., [Online-Ausg.]";"Wiesbaden : Verl. Dt. Volksbücher";"1939";"69 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"K Kinder- und Jugendliteratur";"URN:urn:nbn:de:101:2-2010020564, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020564, IDN:1000047377";"Online-Ressource";"Hoffmann, Heinrich [Verfasser]";"Der Struwwelpeter oder lustige Geschichten und drollige Bilder für Kinder von 3 - 6 Jahren / von Heinrich Hoffmann";"";"593. Aufl. [der Orig.-Ausg.], [Online-Ausg.]";"[Stuttgart] : [Loewe]";"1939";"24 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010021723, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010021723, IDN:1000290328";"Online-Ressource";"Kleist, Heinrich von [Verfasser]";"Der Zweikampf / Heinrich von Kleist";"";"[Online-Ausg.]";"Stuttgart : Kohlhammer";"1939";"40 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"K Kinder- und Jugendliteratur";"URN:urn:nbn:de:101:2-2010011995, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011995, IDN:99962461X";"Online-Ressource";"Spyri, Johanna [Verfasser]";"Heidi : eine Geschichte für Kinder und solche, die Kinder lieb haben / Johanna Spyri. Mit Bildern von Rudolf Münger";"";"[Ungekürzte Originalausg. von Heidis Lehr- und Wanderjahre und Heidi kann brauchen, was es gelernt hat], [Online-Ausg.]";"Zürich : Rascher";"1939";"225, 158 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"";"URN:urn:nbn:de:101:2-20100310115, URL:http://nbn-resolving.de/urn:nbn:de:101:2-20100310115, IDN:1000756300";"Online-Ressource";"";"Bd. 8. Die Wahlverwandschaften";"Bd. 8. Die Wahlverwandschaften";"";"";"1938";"302 S.";"";"";"";"";"";"ger";"";"";"";"";"";"http://d-nb.info/1000756149";"";"";"Online-Ausg.: 2010";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011233, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011233, IDN:999458884";"Online-Ressource";"Hofmannsthal, Hugo von [Verfasser]";"Der Schwierige : Lustspiel in drei Akten / von Hugo von Hofmannsthal";"";"6. Aufl., [Online-Ausg.]";"Wien : Bermann-Fischer";"1935";"191 S.";"";"";"";"";"";"ger";"XA-AT";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020363, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020363, IDN:999991159";"Online-Ressource";"Fontane, Theodor [Verfasser]";"Frau Jenny Treibel : Stine / Theodor Fontane";"";"[Online-Ausg.]";"Berlin-Schöneberg : Oestergaard";"1935";"311 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011904, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011904, IDN:999636863";"Online-Ressource";"Kleist, Heinrich von [Verfasser]";"Prinz Friedrich von Homburg : ein Schauspiel / von Heinrich von Kleist";"";"[Online-Ausg.]";"Langensalza ; Berlin ; Leipzig : J. Beltz";"1935";"80 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"Beltz' billige Bücher ; H. 20";"";"http://d-nb.info/578983893";"";"Heinrich Kleist von: Prinz Friedrich von Homburg ; Deutschunterricht ; Lehrmittel";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011271, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011271, IDN:999460919";"Online-Ressource";"Rilke, Rainer Maria [Verfasser]";"Die Weise von Liebe und Tod des Cornets Christoph Rilke / von Rainer Maria Rilke";"";"451. - 500. Tsd., [Online-Ausg.]";"Leipzig : Insel-Verl.";"1934";"33 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
