idn,author,author2,title,subtitle,responsible,publisher,place,pages,pub_year,links,ddc
1393578004,"Hutter, Maria",,26 Schnurrige Katzenfakten,,Maria Hutter,epubli,Berlin,"Online-Ressource, 36 Seiten",2026,https://nbn-resolving.org/urn:nbn:de:101:1-2603202244288.741019085412; https://d-nb.info/1393578004/34; http://www.epubli.de/shop/isbn/9783565341795,741.5
1392295505,"Peinecke, Konni",,"ABC zum Ausmalen, Lotta's Welt",,Konni Peinecke,epubli,Berlin,"Online-Ressource, 36 Seiten",2026,https://nbn-resolving.org/urn:nbn:de:101:1-2603070001096.771723561678; https://d-nb.info/1392295505/34; http://www.epubli.de/shop/isbn/9783565298761,340
1386106399,"Reifenrath, Gerhard",,And Spare Us from Being Eaten,Cartoons,Gerhard Reifenrath,BoD - Books on Demand,Hamburg,"Online-Ressource, 130 Seiten",2026,https://nbn-resolving.org/urn:nbn:de:101:1-2601080021368.032635062710; https://d-nb.info/1386106399/34; https://buchshop.bod.de/,570.1
1387820621,"Klaassen, Lea Nadine",,Ankunft in Wild Town,Folge 1,Lea Nadine Klaassen,epubli,Berlin,"Online-Ressource, 12 Seiten",2026,https://nbn-resolving.org/urn:nbn:de:101:1-2601232333080.505427406168; https://d-nb.info/1387820621/34; http://www.epubli.de/shop/isbn/9783565189236,306.48
1387749528,"Ihlefeldt, Klaus",,Außerhalb der Matrix,Philosophie für eine überregulierte Welt,Klaus Ihlefeldt,epubli,Berlin,"Online-Ressource, 66 Seiten",2026,https://nbn-resolving.org/urn:nbn:de:101:1-2601230917023.431848103896; https://d-nb.info/1387749528/34; http://www.epubli.de/shop/isbn/9783565188772,158.1
1397017759,"Benda, Thomas","Benda, Sabine",Autor sein heißt kotzen vor Glück,"Die ungeschminkte, nach billigem Fusel stinkende Wahrheit über das Schreiben.","Thomas Benda, Sabine Benda",via tolino media,München,"Online-Ressource, 84 Seiten",2026,https://nbn-resolving.org/urn:nbn:de:101:1-2604221307021.443312920931; https://d-nb.info/1397017759/34,741.5; 830; B
1395046247,"Fisch Sholly, Sholly","Brizuel Dario, Dario",Batman Action: Geisterjagd im Sumpf des Schreckens,,Sholly Fisch,DC COMICS bei Panini Comics,Stuttgart,"Online-Ressource, 64 Seiten",2026,https://nbn-resolving.org/urn:nbn:de:101:1-2604030441497.178742537756; https://d-nb.info/1395046247/34; http://www.paninicomics.de,K
1395046379,"Fisch Sholly, Sholly","Brizuel Dario, Dario",Batman Action: Geisterjagd im Sumpf des Schreckens,,Sholly Fisch,DC COMICS bei Panini Comics,Stuttgart,"Online-Ressource, 64 Seiten",2026,https://nbn-resolving.org/urn:nbn:de:101:1-2604030444397.797236724850; https://d-nb.info/1395046379/34; http://www.paninicomics.de,K
1385420774,"Brüchler, Markus","Colla & Gen Verlag, Colla &. Gen",Batman Begins – Ursprung und Abgrund (Ein Film Dimensions Buch),Eine psychologische und philosophische Analyse des Neubeginns,Markus Brüchler,Colla & Gen Verlag; tredition,Holzwickede,"Online-Ressource, 320 Seiten",2026; 2026,https://nbn-resolving.org/urn:nbn:de:101:1-2512292035419.352454966415; https://d-nb.info/1385420774/34,741.5
138542091X,"Brüchler, Markus","Colla & Gen Verlag, Colla &. Gen",Batman Begins – Ursprung und Abgrund (Ein Film Dimensions Buch),Eine psychologische und philosophische Analyse des Neubeginns,Markus Brüchler,Colla & Gen Verlag; tredition,Holzwickede,"Online-Ressource, 320 Seiten",2026; 2026,https://nbn-resolving.org/urn:nbn:de:101:1-2512292038321.247393433698; https://d-nb.info/138542091X/34,741.5
