idn,author,author2,title,subtitle,responsible,publisher,place,pages,pub_year,links,ddc
1393285015,"Frahm, Ole",,BEREICHSREZENSION Adaptionen im Comic,,Ole Frahm,Philipps-Universität Marburg; Schüren,Marburg; Marburg,Online-Ressource,2026; 2026,https://doi.org/10.25969/mediarep/24541; https://nbn-resolving.org/urn:nbn:de:101:1-2603180337573.483480841462; https://d-nb.info/1393285015/34; https://mediarep.org/handle/doc/26576,741.5
1389922022,,"Kesper-Biermann, Sylvia; Strunk, Anna","Comics in Bildungskontexten. Entwicklungen, Diskurse, Praxis",,,DIPF Leibniz Institut für Bildungsforschung und Bildungsinformation,Frankfurt,Online-Ressource,2026,https://doi.org/10.25656/01:34501; https://nbn-resolving.org/urn:nbn:de:0111-pedocs-345010; https://d-nb.info/1389922022/34; https://www.pedocs.de/frontdoor.php?source_opus=34501; https://www.pedocs.de/volltexte/2025/34501/pdf/Kesper-Biermann_Strunk_2026_Comics_in_Bildungskontexten.pdf,371.32
1395676003,"Matthes, Eva","Mehwald, Ann-Kathrin",Comics in didaktischen Kontexten – notwendige Unterscheidungen,,,DIPF Leibniz Institut für Bildungsforschung und Bildungsinformation,Frankfurt,Online-Ressource,2026,https://doi.org/10.25656/01:34648; https://nbn-resolving.org/urn:nbn:de:0111-pedocs-346482; https://d-nb.info/1395676003/34; https://www.pedocs.de/frontdoor.php?source_opus=34648; https://www.pedocs.de/volltexte/2026/34648/pdf/Matthes_Mehwald_2026_Comics_in_didaktischen.pdf,741.5
1389924378,"Jüngst, Heike Elisabeth",,Die Quer-Comics. Die 1980er und ihre Ideale,,,DIPF Leibniz Institut für Bildungsforschung und Bildungsinformation,Frankfurt,Online-Ressource,2026,https://doi.org/10.25656/01:34647; https://nbn-resolving.org/urn:nbn:de:0111-pedocs-346471; https://d-nb.info/1389924378/34; https://www.pedocs.de/frontdoor.php?source_opus=34647; https://www.pedocs.de/volltexte/2026/34647/pdf/Juengst_2026_Die_Quer-Comics.pdf,741.5
1393283691,"Eggert, Barbara Margarethe",,Hannes Rall: Comics: Konzept und Gestaltung,,Barbara Margarethe Eggert,Philipps-Universität Marburg; Schüren,Marburg; Marburg,Online-Ressource,2026; 2026,https://doi.org/10.25969/mediarep/24540; https://nbn-resolving.org/urn:nbn:de:101:1-2603180329011.967562970504; https://d-nb.info/1393283691/34; https://mediarep.org/handle/doc/26575,741.5
1389924343,"Strunk, Anna",,"""Kulturpessimisten"" gegen ""Micky Maus-Fortschrittsgläubige""? Der Wandel der Debatte um Comics als Bildungsmedien in der Zeitschrift Jugendschriften-Warte in den 1970er Jahren",,,DIPF Leibniz Institut für Bildungsforschung und Bildungsinformation,Frankfurt,Online-Ressource,2026,https://doi.org/10.25656/01:34644; https://nbn-resolving.org/urn:nbn:de:0111-pedocs-346448; https://d-nb.info/1389924343/34; https://www.pedocs.de/frontdoor.php?source_opus=34644; https://www.pedocs.de/volltexte/2026/34644/pdf/Strunk_2026_Kulturpessimisten_gegen.pdf,741.5
1389924386,"Al-Taie, Yvonne","Schwertfeger, Susanne",Multimediales Erzählen in einer Welt der Krisen. Comics in der antisemitismus- und rassismuskritischen sowie diversitätssensiblen Hochschullehre,,,DIPF Leibniz Institut für Bildungsforschung und Bildungsinformation,Frankfurt,Online-Ressource,2026,https://doi.org/10.25656/01:34649; https://nbn-resolving.org/urn:nbn:de:0111-pedocs-346493; https://d-nb.info/1389924386/34; https://www.pedocs.de/frontdoor.php?source_opus=34649; https://www.pedocs.de/volltexte/2026/34649/pdf/Al-Taie_Schwertfeger_2026_Multimediales_Erzaehlen.pdf,741.5
1393282857,"Lehnert, Sigrun",,"Rolf Lohse, Joachim Trinkwitz (Hg.): Der Comic und das Populäre",,Sigrun Lehnert,Philipps-Universität Marburg; Schüren,Marburg; Marburg,Online-Ressource,2026; 2026,https://doi.org/10.25969/mediarep/24539; https://nbn-resolving.org/urn:nbn:de:101:1-2603180322291.790435806462; https://d-nb.info/1393282857/34; https://mediarep.org/handle/doc/26574,741.5
1367707986,"Haist, Iris",,"Anna Beckmann, Kalina Kupczyńska, Marie Martine Schröer, Veronique Sina (Hg.): Comics und Intersektionalität",,Iris Haist,Philipps-Universität Marburg; Schüren,Marburg; Marburg,Online-Ressource,2025; 2025,https://doi.org/10.25969/mediarep/23896; https://nbn-resolving.org/urn:nbn:de:101:1-2506040415248.751346496243; https://d-nb.info/1367707986/34; https://mediarep.org/handle/doc/25768,741.5
1365412482,"Gundermann, Christine",,Comics als Medium von Erinnerungskultur(en) verstehen,,Christine Gundermann,Leibniz-Zentrum für Zeithistorische Forschung Potsdam (ZZF),Potsdam,Online-Ressource,2025,https://doi.org/10.14765/zzf.dok-2855; https://nbn-resolving.org/urn:nbn:de:101:1-2505130155066.917368516618; https://d-nb.info/1365412482/34; https://visual-history.de/2025/03/31/gundermann-comics-als-medium-von-erinnerungskulturen-verstehen/; https://zeitgeschichte-digital.de/doks/frontdoor/index/index/docId/2855,741.5
1362065811,"Feix, Jeannine","Franke, Manuela; Lachmund, Anne-Marie; Plötner, Kathleen",Das Thema ‚Migration‘ im fremdsprachlichen Literaturunterricht anhand von Graphic Novels verhandeln,Vielfältige Kompetenzförderung im modernen Spanisch- und Französischunterricht,"Jeannine Feix ; Herausgeber: Manuela Franke, Anne-Marie Lachmund, Kathleen Plötner",Universität Potsdam; Universitätsverlag Potsdam,Potsdam; Potsdam,Online-Ressource,2025; 2025,https://doi.org/10.25932/publishup-67599; https://nbn-resolving.org/urn:nbn:de:kobv:517-opus4-675995; https://d-nb.info/1362065811/34; https://publishup.uni-potsdam.de/frontdoor/index/index/docId/67599,741.5
1397412712,"Vargas López, Richard Damián","Dolle, Verena; von Hagen, Kirsten","Documentary Comics as Medium of Historical Memory in Colombia: Covers, Paratexts, and Graphic Narratives in three Contemporary Works",,"Richard Damián Vargas López ; Verena Dolle, Kirsten von Hagen",Universitätsbibliothek Gießen,Gießen,Online-Ressource,2025,https://doi.org/10.22029/jlupub-20815; https://nbn-resolving.org/urn:nbn:de:101:1-2604270148102.193676771158; https://d-nb.info/1397412712/34; https://jlupub.ub.uni-giessen.de/handle/jlupub/21468,741.5
1370896867,"Grünkorn, Malte",,"Games, Comics, Nazi-Verbrechen. Zur Funktion gezeichneter Bilder in historischen Serious Games",,Malte Grünkorn,Leibniz-Zentrum für Zeithistorische Forschung Potsdam (ZZF),Potsdam,Online-Ressource,2025,https://doi.org/10.14765/zzf.dok-2884; https://nbn-resolving.org/urn:nbn:de:101:1-2507080202352.556895958456; https://d-nb.info/1370896867/34; https://visual-history.de/2025/05/26/gruenkorn-games-comics-nazi-verbrechen/; https://zeitgeschichte-digital.de/doks/frontdoor/index/index/docId/2884,741.5
1373338733,"Müller, Paul",,Gemütlicher Untergang,der Einfluss japanischer Ästhetik auf postapokalyptische Darstellungen in Manga und Anime,Paul Müller,Universitätsbibliothek Johann Christian Senckenberg,Frankfurt am Main,Online-Ressource,2025,https://nbn-resolving.org/urn:nbn:de:hebis:30:3-933527; https://d-nb.info/1373338733/34; http://publikationen.ub.uni-frankfurt.de/frontdoor/index/index/docId/93352,741.5
1367708206,"Faust-Scalisi, Mario",,"Jessica Bauwens-Sugimoto, Felix Giesa, Christina Meyer (Hg.): Comics | Histories: Texts, Methods, Resources",,Mario Faust-Scalisi,Philipps-Universität Marburg; Schüren,Marburg; Marburg,Online-Ressource,2025; 2025,https://doi.org/10.25969/mediarep/23895; https://nbn-resolving.org/urn:nbn:de:101:1-2506040417420.628769039383; https://d-nb.info/1367708206/34; https://mediarep.org/handle/doc/25767,741.5
1370896832,"Hölscher, Lisa",,Motion Comics als Medium für einen emotional-globalhistorischen Perspektivwechsel,,Lisa Hölscher,Leibniz-Zentrum für Zeithistorische Forschung Potsdam (ZZF),Potsdam,Online-Ressource,2025,https://doi.org/10.14765/zzf.dok-2861; https://nbn-resolving.org/urn:nbn:de:101:1-2507080202100.988917328126; https://d-nb.info/1370896832/34; https://visual-history.de/2025/05/05/hoelscher-motion-comics/; https://zeitgeschichte-digital.de/doks/frontdoor/index/index/docId/2861,741.5
1389923266,"Jüngst, Heike Elisabeth",,Protagonist*innen im Umweltcomic für Kinder,,,DIPF Leibniz Institut für Bildungsforschung und Bildungsinformation,Frankfurt,Online-Ressource,2025,https://doi.org/10.25656/01:34561; https://nbn-resolving.org/urn:nbn:de:0111-pedocs-345616; https://d-nb.info/1389923266/34; https://www.pedocs.de/frontdoor.php?source_opus=34561; https://www.pedocs.de/volltexte/2026/34561/pdf/Juengst_2025_Protagonist_innen_im_Umweltcomic.pdf,741.5
1367708486,"Eggert, Barbara Margarethe",,Sebastian Bartosch: Die Medien des Comics: Vom Zeitungsstrip bis zum digitalen Comic,,Barbara Margarethe Eggert,Philipps-Universität Marburg; Schüren,Marburg; Marburg,Online-Ressource,2025; 2025,https://doi.org/10.25969/mediarep/23894; https://nbn-resolving.org/urn:nbn:de:101:1-2506040419424.258007174148; https://d-nb.info/1367708486/34; https://mediarep.org/handle/doc/25766,741.5
1353369552,,,SeitenArchitekturen,Architektur und Raum im Comic,,De Gruyter; De Gruyter,Berlin/Boston,"Online-Ressource, 8, 390 Seiten",2025; 2025; 2025,https://doi.org/10.1515/9783111488318; https://nbn-resolving.org/urn:nbn:de:101:1-2501141546263.712703901015; https://d-nb.info/1353369552/34; https://www.degruyter.com/; https://www.degruyter.com/isbn/9783111488318; https://www.degruyter.com/document/cover/isbn/9783111488318/original; https://www.degruyter.com/isbn/9783111488318,741.5357
1358638799,"Schwertfeger, Susanne",,Stephen R. O’Sullivan: The Comic Book as Research Tool: Creative Visual Research for the Social Sciences,,Susanne Schwertfeger,Philipps-Universität Marburg; Schüren,Marburg; Marburg,Online-Ressource,2025; 2025,https://doi.org/10.25969/mediarep/23622; https://nbn-resolving.org/urn:nbn:de:101:1-2503050316345.959780783505; https://d-nb.info/1358638799/34; https://mediarep.org/handle/doc/25428,741.5
1383250073,"Donadon, Lia Roxana",,Tango und Comic. Zur Kulturpoetik von Discepolín und Quino im Argentinien der década infame und der década rebelde,,Lia Roxana Donadon,Philipps-Universität Marburg; Universi – Universitätsverlag Siegen,Marburg; Siegen,Online-Ressource,2025; 2025,https://doi.org/10.25969/mediarep/24296; https://nbn-resolving.org/urn:nbn:de:101:1-2512030320492.588333873715; https://d-nb.info/1383250073/34; https://mediarep.org/handle/doc/26303,741.5; 860; 780
1373897732,"Donadon, Lia Roxana","Stein, Daniel",Tango und Comic. Zur Kulturpoetik von Discepolín und Quino im Argentinien der década infame und der década rebelde,,Lia Roxana Donadon ; Gutachter: Daniel Stein,Universitätsbibliothek der Universität Siegen; universi – Universitätsverlag Siegen,Siegen; Siegen,Online-Ressource,2025; 2025,https://nbn-resolving.org/urn:nbn:de:hbz:467-69932; https://d-nb.info/1373897732/34; https://dspace.ub.uni-siegen.de/handle/ubsi/6993,741.5; 860; 780
1370896875,"Bartlitz, Christine","Zündorf, Irmgard",Was man nicht sieht! Perspektivwechsel durch Comics. Einleitung zum Themendossier,,"Christine Bartlitz, Irmgard Zündorf",Leibniz-Zentrum für Zeithistorische Forschung Potsdam (ZZF),Potsdam,Online-Ressource,2025,https://doi.org/10.14765/zzf.dok-2904; https://nbn-resolving.org/urn:nbn:de:101:1-2507080202578.772160126787; https://d-nb.info/1370896875/34; https://visual-history.de/2025/03/26/comics-bartlitz-zuendorf-einleitung/; https://zeitgeschichte-digital.de/doks/frontdoor/index/index/docId/2904,741.5
1370896794,"Köhler, Bettina",,Zeichnen als Instrument,,Bettina Köhler,Leibniz-Zentrum für Zeithistorische Forschung Potsdam (ZZF),Potsdam,Online-Ressource,2025,https://doi.org/10.14765/zzf.dok-2857; https://nbn-resolving.org/urn:nbn:de:101:1-2507080201425.677770023000; https://d-nb.info/1370896794/34; https://visual-history.de/2025/04/14/koehler-zeichnen-als-instrument/; https://zeitgeschichte-digital.de/doks/frontdoor/index/index/docId/2857,741
1384698167,"Xu, Zhaoxing",,Translating inter-semiotic paratexts in comics – a comparative study on two Chinese translation versions of Understanding comics: the invisible art,,,,,Online-Ressource,,https://doi.org/10.1515/css-2025-0006; https://nbn-resolving.org/urn:nbn:de:101:1-2512180629342.005711820065; https://d-nb.info/1384698167/34,741.5
138433257X,"Mende, Emma Lotte Antonella","Lohse, Rolf",Alessandro Baronciani: RagazzaCD Selbstverlag 2023,,"Emma Lotte Antonella Mende, Rolf Lohse",,,Online-Ressource,,https://hdl.handle.net/21.11108/HZ-0000-0007-FFE5-8-10-2025; https://nbn-resolving.org/urn:nbn:de:101:1-2512141811314.822648929832; https://d-nb.info/138433257X/34; https://horizonte-zeitschrift.de/de/ausgaben/ausgabe-10/baronciani-ragazza-cd,741.5
1395702179,"Yadav, Neha",,(Mis) Reading the Room: When the United States Government Investigated Comic Books as a Gateway to Juvenile Delinquency,,,,,Online-Ressource,,https://doi.org/10.1515/cat-2025-0035; https://nbn-resolving.org/urn:nbn:de:101:1-2604100359284.515286530613; https://d-nb.info/1395702179/34,741.5
1363057081,"Charise, Andrea",,The Comic Research Abstract: Graphic Medicine as Interdisciplinary Health Research (Example: Intergenerational Storytelling),,by Andrea Charise,,,1 Online-Ressource.,,https://doi.org/10.1007/s10912-025-09931-y; https://nbn-resolving.org/urn:nbn:de:101:1-2504142101569.869316572897; https://d-nb.info/1363057081/34; https://doi.org/10.1007/s10912-025-09931-y,741.5
1343528720,"Schröder, Niels",,[08] Der 20. Juli 1944 – Biographie eines Tages. Eine Graphic Novel,,von Niels Schröder / Niels Schröder,Zentrum für Militärgeschichte und Sozialwissenschaften der Bundeswehr,Potsdam,Online-Ressource,2024,https://doi.org/10.48727/opus4-788; https://nbn-resolving.org/urn:nbn:de:kobv:po79-opus4-7882; https://d-nb.info/1343528720/34; https://opus4.kobv.de/opus4-zmsbw/frontdoor/index/index/docId/788,741.5
1328769593,"Reumont, Frederik von","Simon, Marine; Dieckmann, Ute; Vogelsang, Ralf; Henselowsky, Felix; Budke, Alexandra; Schäbitz, Frank",Auf der Spur der Menschen vor 80.000 Jahren,,"Frederik von Reumont, Marine Simon, Ute Dieckmann, Ralf Vogelsang, Felix Henselowsky, Alexandra Budke, Frank Schabitz",Universitäts- und Stadtbibliothek Köln,Köln,Online-Ressource,2024,https://nbn-resolving.org/urn:nbn:de:hbz:38-727483; https://d-nb.info/1328769593/34; http://kups.ub.uni-koeln.de/id/eprint/72748,741.5
1322612684,"Löchel, Rolf",,"Bryan J. Carr, Meta G. Carstarphen (Hg.): Gendered Defenders: Marvel’s Heroines in Transmedia Spaces",,Rolf Löchel,Philipps-Universität Marburg; Schüren,Marburg; Marburg,Online-Ressource,2024; 2024,https://doi.org/10.25969/mediarep/21903; https://nbn-resolving.org/urn:nbn:de:101:1-2024030603313776616727; https://d-nb.info/1322612684/34; https://mediarep.org/handle/doc/23249,741.5
1338379208,"Giesa, Felix","Harbeck, Matthias",Comics in wissenschaftlichen Bibliotheken – Überblick und Herausforderungen,,"Felix Giesa, Matthias Harbeck",Universitätsbibliothek Johann Christian Senckenberg,Frankfurt am Main,Online-Ressource,2024,https://doi.org/10.15460/apimagazin.2024.5.2.199; https://nbn-resolving.org/urn:nbn:de:hebis:30:3-849042; https://d-nb.info/1338379208/34; http://publikationen.ub.uni-frankfurt.de/frontdoor/index/index/docId/84904,741.5
1348770503,"Beckmann, Anna","Kupczyńska, Kalina; Schröer, Marie; Sina, Véronique",Comics und Intersektionalität,,"Anna Beckmann, Kalina Kupczyńska, Marie Schröer, Véronique Sina",Philipps-Universität Marburg; De Gruyter,Marburg; Berlin,Online-Ressource,2024; 2024,https://doi.org/10.25969/mediarep/23221; https://nbn-resolving.org/urn:nbn:de:101:1-2411200315125.428326563292; https://d-nb.info/1348770503/34; https://www.degruyter.com/document/doi/10.1515/9783110799385/html?lang=de&srsltid=AfmBOorZqeBlSrwH5P10X0q_MRvuLQsULELwuWtE0tcQLd7L-y5BKgRH; https://mediarep.org/handle/doc/24996,741.555
1341694038,,"Beckmann, Anna; Kupczyńska, Kalina; Schröer, Marie; Sina, Véronique",Comics und Intersektionalität,,,De Gruyter; De Gruyter,Berlin/Boston,"1 Online-Ressource, 7, 337 Seiten",2024; 2024; 2024,https://doi.org/10.1515/9783110799385; https://nbn-resolving.org/urn:nbn:de:101:1-2409111701187.941082093633; https://d-nb.info/1341694038/34; https://www.degruyter.com/; https://www.degruyter.com/isbn/9783110799385; https://www.degruyter.com/document/cover/isbn/9783110799385/original; https://www.degruyter.com/isbn/9783110799385,741.555
1352015358,"Koch, Franziska",,Die ›Gerechten‹ im polnischen Comic. Gezeichnete Erinnerungen an Hilfeleistungen für jüdische Verfolgte während des Zweiten Weltkriegs,,Franziska Koch,Universitätsbibliothek Kiel,Kiel,Online-Ressource,2024,https://nbn-resolving.org/urn:nbn:de:gbv:8:3-2024-01125-8; https://d-nb.info/1352015358/34; https://macau.uni-kiel.de/receive/macau_mods_00005427,741.5
